chr,start,pos,SNPid
chr11,47377032,47377033,rs71475909
chr11,47560182,47560183,rs61895112
chr11,47600187,47600188,rs2280231
chr11,76157238,76157239,rs17245270
chr12,12870848,12870849,rs2066827
chr12,14409277,14409278,rs12300043
chr12,48419367,48419368,rs80130819
chr12,53300768,53300769,rs55958994
chr12,53308681,53308682,rs113925811
chr12,53309333,53309334,rs4919743
chr12,65017447,65017448,rs1245169
chr12,65017593,65017594,rs1245168
chr12,65017941,65017942,rs2682714
chr12,65018474,65018475,rs2701850
chr12,65019472,65019473,rs2701849
chr12,65030997,65030998,rs10784417
chr12,65031595,65031596,rs11175483
chr12,65033774,65033775,rs1383117
chr12,65034188,65034189,rs1716496
chr12,65043152,65043153,rs1795624
chr12,65044563,65044564,rs1797688
chr12,65049903,65049904,rs1797678
chr12,65050540,65050541,rs566413790
chr12,65064918,65064919,rs1716506
chr12,90156728,90156729,rs10745515
chr12,90172689,90172690,rs10777200
chr12,133067222,133067223,rs28435470
chr12,133067738,133067739,rs7295014
chr12,133136540,133136541,rs7973123
chr12,133136594,133136595,rs61952098
chr14,37131797,37131798,rs12882923
chr15,41029416,41029417,rs2304580
chr15,66794455,66794456,rs28684409
chr16,57653086,57653087,rs11862210
chr16,57653282,57653283,rs11859370
chr16,57654325,57654326,rs11863709
chr16,82171468,82171469,rs41534745
chr16,82172925,82172926,rs12598269
chr16,82181683,82181684,rs1056675
chr16,82181726,82181727,rs1064208
chr16,82183152,82183153,rs2288050
chr16,82183264,82183265,rs35817178
chr16,82185511,82185512,rs12446210
chr16,82186883,82186884,rs1862822
chr16,82200496,82200497,rs7200628
chr17,617788,617789,rs2474694
chr17,618714,618715,rs684232
chr17,7816103,7816104,rs60249108
chr17,7816291,7816292,rs12943165
chr17,7816348,7816349,rs12943443
chr17,7819492,7819493,rs12941683
chr17,36103314,36103315,rs11263763
chr17,47410270,47410271,rs140503890
chr17,47410638,47410639,rs11653762
chr17,47411242,47411243,rs77247327
chr17,47411563,47411564,rs111834333
chr17,47412327,47412328,rs75092916
chr17,47439736,47439737,rs36102386
chr17,56465813,56465814,rs3837805
chr18,51780768,51780769,rs11083046
chr18,51781643,51781644,rs11083047
chr18,51790342,51790343,rs5825066
chr18,51795596,51795597,rs3730668
chr18,51830043,51830044,rs12955457
chr18,56741425,56741426,rs34349762
chr18,56742040,56742041,rs4940809
chr18,56742195,56742196,rs4940810
chr18,56742622,56742623,rs4940442
chr18,56742653,56742654,rs4940811
chr18,56742714,56742715,rs4940812
chr18,56742887,56742888,rs12326997
chr18,56742957,56742958,rs12327308
chr18,56743416,56743417,rs4940813
chr18,56743628,56743629,rs4940814
chr18,56743841,56743842,rs34192989
chr18,60987895,60987896,rs62098660
chr19,41985336,41985337,rs11672691
chr19,41985966,41985967,rs2079811
chr19,42746978,42746979,rs11878620
chr19,42747223,42747224,rs79021928
chr19,51360589,51360590,rs62113212
chr19,51361506,51361507,rs17632542
chr19,51362286,51362287,rs62113214
chr19,51362464,51362465,rs76765083
chr20,31331079,31331080,rs4911106
chr20,31349657,31349658,rs6087990
chr22,29155919,29155920,rs9306460
chr22,40439430,40439431,rs113141267
chrX,11482383,11482384,rs17321482
chrX,66744145,66744146,rs5964602
chrX,66765376,66765377,rs6152
chrX,70405646,70405647,rs4844288
