altAffect(snpSTARRseq),ChIP/ATAC Allele Freq,RSID,sig-level,chipseq
0.34240997,0.6585,rs4940812,all SNP,H3K27ac
0.537989754,0.5174,rs4951075,all SNP,H3K27ac
0.460762706,0.5732,rs4962416,all SNP,H3K27ac
0.506001437,0.5699,rs4962418,all SNP,H3K27ac
0.53505799,0.5732,rs4962419,all SNP,H3K27ac
0.515630141,0.557,rs4962719,all SNP,H3K27ac
0.469143711,0.5732,rs4962720,all SNP,H3K27ac
0.44748991,0.5029,rs56103503,all SNP,H3K27ac
0.529472382,0.543,rs6005863,all SNP,H3K27ac
0.535453894,0.4102,rs62098660,all SNP,H3K27ac
0.473897338,0.5347,rs62106671,all SNP,H3K27ac
0.558582245,0.5288,rs625649,all SNP,H3K27ac
0.558263135,0.6627,rs6432110,all SNP,H3K27ac
0.346049179,0.5018,rs6475313,all SNP,H3K27ac
0.539917119,0.4523,rs651164,all SNP,H3K27ac
0.254713985,0.4168,rs67026445,all SNP,H3K27ac
0.563254185,0.4259,rs6713555,all SNP,H3K27ac
0.513410294,0.5014,rs6747918,all SNP,H3K27ac
0.58333939,0.4159,rs6760842,all SNP,H3K27ac
0.552360671,0.3982,rs6760963,all SNP,H3K27ac
0.597728656,0.4003,rs6959688,all SNP,H3K27ac
0.604055009,0.413,rs6978112,all SNP,H3K27ac
0.438220947,0.4781,rs7020657,all SNP,H3K27ac
0.438220947,0.4783,rs7020989,all SNP,H3K27ac
0.495757777,0.5679,rs7077275,all SNP,H3K27ac
0.481786109,0.5187,rs7094463,all SNP,H3K27ac
0.537008009,0.5206,rs7094871,all SNP,H3K27ac
0.455328435,0.4256,rs72620830,all SNP,H3K27ac
0.538780166,0.5089,rs7295014,all SNP,H3K27ac
0.537261287,0.4498,rs73913932,all SNP,H3K27ac
0.440601911,0.535,rs7463708,all SNP,H3K27ac
0.573449506,0.4979,rs7581701,all SNP,H3K27ac
0.548573553,0.523,rs7581717,all SNP,H3K27ac
0.50174187,0.6627,rs7593496,all SNP,H3K27ac
0.487831874,0.6627,rs7605461,all SNP,H3K27ac
0.528080923,0.5719,rs7639565,all SNP,H3K27ac
0.515888533,0.5365,rs7752522,all SNP,H3K27ac
0.452924969,0.5281,rs78434172,all SNP,H3K27ac
0.759307867,0.589,rs7961386,all SNP,H3K27ac
0.49860026,0.4818,rs8051436,all SNP,H3K27ac
0.495883853,0.4256,rs880930,all SNP,H3K27ac
0.455916733,0.4256,rs880932,all SNP,H3K27ac
0.498282011,0.4785,rs887391,all SNP,H3K27ac
0.480647675,0.4341,rs9367172,all SNP,H3K27ac
0.577822021,0.535,rs9469887,all SNP,H3K27ac
0.609119099,0.5928,rs9472120,all SNP,H3K27ac
0.59942113,0.5928,rs9472121,all SNP,H3K27ac
0.584008143,0.4774,rs10188360,all SNP,AR
0.580565729,0.4774,rs10190752,all SNP,AR
0.642659708,0.5304,rs10486567,all SNP,AR
0.430903269,0.5107,rs1048739,all SNP,AR
0.433682185,0.5107,rs1048740,all SNP,AR
0.732533404,0.5951,rs10745514,all SNP,AR
0.715260743,0.5951,rs10745515,all SNP,AR
0.586694524,0.5361,rs11083046,all SNP,AR
0.517283667,0.5361,rs11083047,all SNP,AR
0.475609279,0.645,rs1160267,all SNP,AR
0.480156199,0.5272,rs11674433,all SNP,AR
0.506833832,0.3413,rs11905777,all SNP,AR
0.36245601,0.637,rs12326997,all SNP,AR
0.466675916,0.3696,rs12634,all SNP,AR
0.543908004,0.5108,rs12769019,all SNP,AR
0.552357965,0.4047,rs12773600,all SNP,AR
0.490452136,0.4059,rs12773833,all SNP,AR
0.194720127,0.3038,rs13215045,all SNP,AR
0.294153686,0.3586,rs13215402,all SNP,AR
0.451282167,0.4961,rs13254738,all SNP,AR
0.412953129,0.512,rs1446668,all SNP,AR
0.596487729,0.5099,rs1797688,all SNP,AR
0.6724314,0.5132,rs1797689,all SNP,AR
0.489661742,0.4101,rs2018334,all SNP,AR
0.564566832,0.5227,rs2024431,all SNP,AR
0.627262451,0.4688,rs205259,all SNP,AR
0.55406048,0.5242,rs2437875,all SNP,AR
0.534742341,0.4821,rs2682299,all SNP,AR
0.534742341,0.4821,rs2682300,all SNP,AR
0.511864162,0.5472,rs2701849,all SNP,AR
0.520182247,0.5153,rs2814970,all SNP,AR
0.509765602,0.4652,rs2814972,all SNP,AR
0.587292039,0.5216,rs3729647,all SNP,AR
0.438634633,0.4907,rs3769823,all SNP,AR
0.542256466,0.518,rs3828081,all SNP,AR
0.455865837,0.4714,rs3828262,all SNP,AR
0.488387805,0.497,rs3919460,all SNP,AR
0.511170357,0.5534,rs398377,all SNP,AR
0.529597662,0.5534,rs481053,all SNP,AR
0.53505799,0.5265,rs4962419,all SNP,AR
0.558582245,0.5528,rs625649,all SNP,AR
0.558263135,0.6375,rs6432110,all SNP,AR
0.346049179,0.448,rs6475313,all SNP,AR
0.539917119,0.5152,rs651164,all SNP,AR
0.254713985,0.4235,rs67026445,all SNP,AR
0.495757777,0.5264,rs7077275,all SNP,AR
0.537261287,0.5157,rs73913932,all SNP,AR
0.440601911,0.4909,rs7463708,all SNP,AR
0.587160626,0.5768,rs7567607,all SNP,AR
0.50174187,0.6375,rs7593496,all SNP,AR
0.487831874,0.6375,rs7605461,all SNP,AR
0.759307867,0.5951,rs7961386,all SNP,AR
0.441233553,0.637,rs8094161,all SNP,AR
0.480647675,0.4419,rs9367172,all SNP,AR
0.576112176,0.5572,rs9472119,all SNP,AR
0.609119099,0.5572,rs9472120,all SNP,AR
0.59942113,0.5572,rs9472121,all SNP,AR
0.489971534,0.4604,rs10015716,all SNP,ATAC
0.584008143,0.5778,rs10188360,all SNP,ATAC
0.433682185,0.5437,rs1048740,all SNP,ATAC
0.732533404,0.6279,rs10745514,all SNP,ATAC
0.41809353,0.4875,rs10777200,all SNP,ATAC
0.531972727,0.5395,rs10950448,all SNP,ATAC
0.504308343,0.531,rs11078716,all SNP,ATAC
0.586694524,0.5917,rs11083046,all SNP,ATAC
0.517283667,0.567,rs11083047,all SNP,ATAC
0.505151891,0.554,rs11204687,all SNP,ATAC
0.475609279,0.6307,rs1160267,all SNP,ATAC
0.53137803,0.5598,rs11657465,all SNP,ATAC
0.446503601,0.5218,rs11658063,all SNP,ATAC
0.480156199,0.491,rs11674433,all SNP,ATAC
0.506833832,0.4084,rs11905777,all SNP,ATAC
0.547163844,0.5093,rs12300043,all SNP,ATAC
0.525413023,0.4736,rs12314600,all SNP,ATAC
0.580333549,0.5386,rs12597010,all SNP,ATAC
0.490452136,0.4409,rs12773833,all SNP,ATAC
0.591248474,0.5508,rs13004855,all SNP,ATAC
0.294153686,0.36,rs13215402,all SNP,ATAC
0.388003977,0.4213,rs13283584,all SNP,ATAC
0.509525403,0.4907,rs16948048,all SNP,ATAC
0.40451508,0.5195,rs1716506,all SNP,ATAC
0.475131572,0.4932,rs1797678,all SNP,ATAC
0.596487729,0.4718,rs1797688,all SNP,ATAC
0.489661742,0.4421,rs2018334,all SNP,ATAC
0.55406048,0.5736,rs2437875,all SNP,ATAC
0.493622466,0.474,rs2480786,all SNP,ATAC
0.534742341,0.5012,rs2682300,all SNP,ATAC
0.511864162,0.5541,rs2701849,all SNP,ATAC
0.529193698,0.5459,rs2814968,all SNP,ATAC
0.509765602,0.4623,rs2814972,all SNP,ATAC
0.502435634,0.5824,rs2913274,all SNP,ATAC
0.587292039,0.4982,rs3729647,all SNP,ATAC
0.618002328,0.5436,rs3758337,all SNP,ATAC
0.438634633,0.4803,rs3769823,all SNP,ATAC
0.488387805,0.5004,rs3919460,all SNP,ATAC
0.542147336,0.5783,rs4420575,all SNP,ATAC
0.529597662,0.5384,rs481053,all SNP,ATAC
0.479330005,0.5122,rs4845357,all SNP,ATAC
0.444101535,0.5862,rs4846233,all SNP,ATAC
0.537989754,0.4903,rs4951075,all SNP,ATAC
0.529472382,0.5321,rs6005863,all SNP,ATAC
0.397226229,0.4921,rs607518,all SNP,ATAC
0.535453894,0.5048,rs62098660,all SNP,ATAC
0.558263135,0.551,rs6432110,all SNP,ATAC
0.58333939,0.4493,rs6760842,all SNP,ATAC
0.545775131,0.4099,rs6934121,all SNP,ATAC
0.481786109,0.4799,rs7094463,all SNP,ATAC
0.440601911,0.4521,rs7463708,all SNP,ATAC
0.515888533,0.5087,rs7752522,all SNP,ATAC
0.452924969,0.4524,rs78434172,all SNP,ATAC
0.441233553,0.6257,rs8094161,all SNP,ATAC
0.455916733,0.4639,rs880932,all SNP,ATAC
0.577822021,0.5538,rs9469887,all SNP,ATAC
0.576112176,0.5207,rs9472119,all SNP,ATAC
0.580565729,0.5042,rs10190752,p < 0.05,H3K27ac
0.642659708,0.5475,rs10486567,p < 0.05,H3K27ac
0.625247056,0.6072,rs10490187,p < 0.05,H3K27ac
0.434081292,0.5932,rs10807290,p < 0.05,H3K27ac
0.586694524,0.5671,rs11083046,p < 0.05,H3K27ac
0.38224438,0.5223,rs11136345,p < 0.05,H3K27ac
0.389476233,0.509,rs11264743,p < 0.05,H3K27ac
0.384541408,0.513,rs11674246,p < 0.05,H3K27ac
0.42164583,0.519,rs12023699,p < 0.05,H3K27ac
0.249119007,0.5324,rs12215344,p < 0.05,H3K27ac
0.36245601,0.6585,rs12326997,p < 0.05,H3K27ac
0.587681345,0.4942,rs12620010,p < 0.05,H3K27ac
0.194720127,0.2714,rs13215045,p < 0.05,H3K27ac
0.294153686,0.3033,rs13215402,p < 0.05,H3K27ac
0.6724314,0.5022,rs1797689,p < 0.05,H3K27ac
0.595832918,0.5548,rs1970811,p < 0.05,H3K27ac
0.587372376,0.557,rs2028397,p < 0.05,H3K27ac
0.620063153,0.5279,rs2028398,p < 0.05,H3K27ac
0.37978155,0.5018,rs2233798,p < 0.05,H3K27ac
0.748311922,0.5344,rs2717586,p < 0.05,H3K27ac
0.337542677,0.5164,rs3737155,p < 0.05,H3K27ac
0.618002328,0.4783,rs3758337,p < 0.05,H3K27ac
0.311281983,0.5165,rs4845585,p < 0.05,H3K27ac
0.329262702,0.6585,rs4940811,p < 0.05,H3K27ac
0.34240997,0.6585,rs4940812,p < 0.05,H3K27ac
0.346049179,0.5018,rs6475313,p < 0.05,H3K27ac
0.254713985,0.4168,rs67026445,p < 0.05,H3K27ac
0.58333939,0.4159,rs6760842,p < 0.05,H3K27ac
0.759307867,0.589,rs7961386,p < 0.05,H3K27ac
0.609119099,0.5928,rs9472120,p < 0.05,H3K27ac
0.59942113,0.5928,rs9472121,p < 0.05,H3K27ac
0.580565729,0.4774,rs10190752,p < 0.05,AR
0.642659708,0.5304,rs10486567,p < 0.05,AR
0.732533404,0.5951,rs10745514,p < 0.05,AR
0.715260743,0.5951,rs10745515,p < 0.05,AR
0.586694524,0.5361,rs11083046,p < 0.05,AR
0.36245601,0.637,rs12326997,p < 0.05,AR
0.194720127,0.3038,rs13215045,p < 0.05,AR
0.294153686,0.3586,rs13215402,p < 0.05,AR
0.6724314,0.5132,rs1797689,p < 0.05,AR
0.346049179,0.448,rs6475313,p < 0.05,AR
0.254713985,0.4235,rs67026445,p < 0.05,AR
0.759307867,0.5951,rs7961386,p < 0.05,AR
0.576112176,0.5572,rs9472119,p < 0.05,AR
0.609119099,0.5572,rs9472120,p < 0.05,AR
0.59942113,0.5572,rs9472121,p < 0.05,AR
0.732533404,0.6279,rs10745514,p < 0.05,ATAC
0.586694524,0.5917,rs11083046,p < 0.05,ATAC
0.294153686,0.36,rs13215402,p < 0.05,ATAC
0.40451508,0.5195,rs1716506,p < 0.05,ATAC
0.618002328,0.5436,rs3758337,p < 0.05,ATAC
0.58333939,0.4493,rs6760842,p < 0.05,ATAC
0.576112176,0.5207,rs9472119,p < 0.05,ATAC
